DoctorName,DoctorDescription,DoctorSpecialty,AvailabilityDay,AvailabilityTime,Fee,DoctorPicture,HospitalName
John Cena,John Cena has been a doctor in LibanoFrancais for the last 30 years,Hematologie et Oncologie,Monday - Wednesday - Friday,11am -> 5pm,150,doctor2.jpeg,Hôpital Libano Français
DJ Khaled,DJ Khaled has been a doctor in Geitaoui for the last 30 years,Gastro-enterologue,Tuesday - Thursday,11am -> 5pm,120,doctor2.jpeg,Lebanese Hospital Geitaoui
Jean Keserwani,Jean Keserwani has been a doctor in AUBMC for the last 30 years,Hematologie et Oncologie,Monday - Wednesday - Friday,12am -> 4pm,120,jean.jpeg,AUB Medical Center
Val Doum,Val Doum has been a doctor in Sidon for the last 30 years,Gastro-enterologue,Tuesday - Thursday,11am -> 5pm,100,doctor3.jpeg,Sidon Governmental Hospital
Val Doum,Val Doum has been a doctor in LibanoFrancais for the last 30 years,Gastro-enterologue,Monday - Wednesday - Friday,12am -> 4pm,120,doctor3.jpeg,Hôpital Libano Français
Ali Darwich,Ali Darwich has been a doctor in Sidon for the last 30 years,Cardiologue,Monday - Wednesday - Friday,12am -> 4pm,150,doctor2.jpeg,Sidon Governmental Hospital
Carole Samek,Carole Samek has been a doctor in Sidon for the last 30 years,Medecine Intern,Monday - Wednesday - Friday,11am -> 5pm,100,doctor3.jpeg,Sidon Governmental Hospital
Carole Samek,Carole Samek has been a doctor in LibanoFrancais for the last 30 years,Medecine Intern,Tuesday - Thursday,11am -> 5pm,150,doctor3.jpeg,Hôpital Libano Français
Anthony Haddad,Anthony Haddad has been a doctor in AUBMC for the last 30 years,Cardiologue,Monday - Wednesday - Friday,11am -> 5pm,150,antoix1.jpeg,AUB Medical Center
Anthony Haddad,Anthony Haddad has been a doctor in Geitaoui for the last 30 years,Cardiologue,Tuesday - Thursday,11am -> 5pm,150,antoix1.jpeg,Lebanese Hospital Geitaoui
Marc abboud,Marc abboud has been a doctor in Maounat for the last 30 years,Hematologie et Oncologie,Monday - Wednesday - Friday,12am -> 4pm,120,doctor1.jpeg,Hôpital Notre Dame des Secours
Marc abboud,Marc abboud has been a doctor in Maounat for the last 30 years,Hematologie et Oncologie,Tuesday - Thursday,12am -> 4pm,120,doctor1.jpeg,Hôpital Notre Dame des Secours
